City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Avarua,CK,79.97,moderate rain,-21.2078,-159.775,Paradise Inn
2,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
21,Buala,SB,80.6,light rain,-8.145,159.5921,Maringe Lagoon Lodge
29,Hithadhoo,MV,84.72,overcast clouds,-0.6,73.0833,Scoop Guest House
35,Awbari,LY,87.21,clear sky,26.5921,12.7805,فندق أوباري
45,Lata,PT,81.48,broken clouds,40.1629,-8.3327,Casa Maquia
57,Lorengau,PG,82.96,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
58,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
59,Kulhudhuffushi,MV,85.1,overcast clouds,6.6221,73.07,Haajy Guest House 1
68,Mandera,KE,87.39,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
78,Bandarbeyla,SO,83.75,broken clouds,9.4942,50.8122,JABIR HOTEL
87,Butaritari,KI,81.16,few clouds,3.0707,172.7902,Isles Sunset Lodge
91,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
95,Faanui,PF,81.5,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
97,Sulangan,PH,83.07,overcast clouds,11.1373,123.7228,Maia's Beach Resort
103,Coahuayana,MX,86.14,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
108,Jacqueville,CI,82.81,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
109,Hobyo,SO,84.67,broken clouds,5.3505,48.5268,Iftin hotel hobyo
110,Cabo San Lucas,MX,88.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
123,Tabou,CI,83.71,overcast clouds,4.423,-7.3528,hotêl doufoulougou
142,Sinnamary,GF,82.69,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
147,Tecoanapa,MX,85.08,scattered clouds,16.5167,-98.75,Hotel Manglares
148,Rio Branco,BR,86.61,scattered clouds,-9.9747,-67.81,Hotel Guapindaia Bosque
155,Itarema,BR,79.38,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
159,San Nicolas,PH,81.55,scattered clouds,18.1725,120.5953,NORTHVIEW Hotel
162,Cayenne,GF,87.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
166,Sorong,ID,80.98,moderate rain,-0.8833,131.25,Waigo Splash Hotel
167,Vega De Alatorre,MX,88.7,scattered clouds,20.0333,-96.6333,Hotel D Luxe
182,San Patricio,US,88.52,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
185,Gat,IL,83.39,clear sky,31.61,34.7642,OlusHome
186,Meulaboh,ID,80.24,overcast clouds,4.1363,96.1285,Kost Pria
201,Kisangani,CD,82.67,broken clouds,0.5167,25.2,Grand Ramela Hotel
202,San Policarpo,PH,80.35,overcast clouds,12.1791,125.5072,Agapita M. Nicart
204,Cedral,MX,82.8,overcast clouds,23.8,-100.7333,Hotel Rocio
206,Lethem,GY,86.76,overcast clouds,3.3803,-59.7968,Savannah Inn
214,Puerto Escondido,MX,88.63,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
217,Montilla,ES,86.2,broken clouds,37.5863,-4.6381,Hotel Don Gonzalo
219,Pak Thong Chai,TH,82.65,overcast clouds,14.7226,102.0251,Mulberry House Korat
237,Najran,SA,87.24,clear sky,17.4924,44.1277,محمد هادي ال فطيح
239,Benguela,AO,81.12,clear sky,-12.5763,13.4055,Hotel Praia Morena
245,Rio Verde De Mato Grosso,BR,89.62,clear sky,-18.9181,-54.8442,Quedas Palace Hotel
252,Jalu,LY,84.88,clear sky,29.0331,21.5482,صاحبة الفخامة
270,San Andres,CO,86.02,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
272,Acarau,BR,80.62,light rain,-2.8856,-40.12,castelo pizzaria
275,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
