City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Avarua,CK,79.97,moderate rain,-21.2078,-159.775,Paradise Inn
2,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
5,Rikitea,PF,76.41,few clouds,-23.1203,-134.9692,People ThankYou
15,Mahebourg,MU,76.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
21,Buala,SB,80.6,light rain,-8.145,159.5921,Maringe Lagoon Lodge
22,Galesong,ID,78.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
24,Atuona,PF,78.53,clear sky,-9.8,-139.0333,Villa Enata
28,Balikpapan,ID,77.99,broken clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
29,Hithadhoo,MV,84.72,overcast clouds,-0.6,73.0833,Scoop Guest House
31,Pyu,MM,78.8,overcast clouds,18.4833,96.4333,Mr Bo Bo
35,Awbari,LY,87.21,clear sky,26.5921,12.7805,فندق أوباري
45,Lata,PT,81.48,broken clouds,40.1629,-8.3327,Casa Maquia
46,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
57,Lorengau,PG,82.96,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
58,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
59,Kulhudhuffushi,MV,85.1,overcast clouds,6.6221,73.07,Haajy Guest House 1
61,Victoria,HK,78.85,light rain,22.2855,114.1577,Mini Hotel Central
67,Puerto Ayora,EC,75.38,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
68,Mandera,KE,87.39,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
78,Bandarbeyla,SO,83.75,broken clouds,9.4942,50.8122,JABIR HOTEL
80,Souillac,MU,75.74,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
85,Bubaque,GW,78.3,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
87,Butaritari,KI,81.16,few clouds,3.0707,172.7902,Isles Sunset Lodge
90,Karratha,AU,76.55,few clouds,-20.7377,116.8463,ibis Styles Karratha
91,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
92,Bengkulu,ID,78.76,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
95,Faanui,PF,81.5,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
97,Sulangan,PH,83.07,overcast clouds,11.1373,123.7228,Maia's Beach Resort
103,Coahuayana,MX,86.14,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
108,Jacqueville,CI,82.81,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
109,Hobyo,SO,84.67,broken clouds,5.3505,48.5268,Iftin hotel hobyo
110,Cabo San Lucas,MX,88.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
123,Tabou,CI,83.71,overcast clouds,4.423,-7.3528,hotêl doufoulougou
142,Sinnamary,GF,82.69,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
147,Tecoanapa,MX,85.08,scattered clouds,16.5167,-98.75,Hotel Manglares
148,Rio Branco,BR,86.61,scattered clouds,-9.9747,-67.81,Hotel Guapindaia Bosque
155,Itarema,BR,79.38,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
159,San Nicolas,PH,81.55,scattered clouds,18.1725,120.5953,NORTHVIEW Hotel
162,Cayenne,GF,87.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
166,Sorong,ID,80.98,moderate rain,-0.8833,131.25,Waigo Splash Hotel
167,Vega De Alatorre,MX,88.7,scattered clouds,20.0333,-96.6333,Hotel D Luxe
182,San Patricio,US,88.52,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
185,Gat,IL,83.39,clear sky,31.61,34.7642,OlusHome
186,Meulaboh,ID,80.24,overcast clouds,4.1363,96.1285,Kost Pria
190,Auki,SB,77.88,broken clouds,-8.7676,160.7034,Auki Motel
