City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.2078,-159.775,79.97,79,100,6.29,moderate rain
1,Olafsvik,IS,64.8945,-23.7142,42.93,87,67,9.69,broken clouds
2,Georgetown,MY,5.4112,100.3354,85.95,79,20,0.0,few clouds
3,Bredasdorp,ZA,-34.5322,20.0403,59.09,63,47,8.77,scattered clouds
4,Albany,US,42.6001,-73.9662,67.93,28,0,1.99,clear sky
5,Rikitea,PF,-23.1203,-134.9692,76.41,66,17,10.69,few clouds
6,Busselton,AU,-33.65,115.3333,57.49,84,1,2.3,clear sky
7,Qaanaaq,GL,77.484,-69.3632,22.3,72,13,3.47,few clouds
8,Tekeli,KZ,44.83,78.8239,61.68,63,47,7.27,scattered clouds
9,Geraldton,AU,-28.7667,114.6,64.81,88,100,5.75,overcast clouds
10,Port Alfred,ZA,-33.5906,26.891,64.18,80,84,2.44,broken clouds
11,Hobart,AU,-42.8794,147.3294,45.27,89,5,6.91,clear sky
12,New Norfolk,AU,-42.7826,147.0587,44.91,79,4,3.2,clear sky
13,Punta Arenas,CL,-53.15,-70.9167,46.51,87,40,21.85,scattered clouds
14,Leningradskiy,RU,69.3833,178.4167,10.83,93,83,4.85,broken clouds
15,Mahebourg,MU,-20.4081,57.7,76.24,82,11,7.83,light rain
16,Atasu,KZ,48.6814,71.6433,59.68,30,95,15.66,overcast clouds
17,Esperance,AU,-33.8667,121.9,62.56,46,5,10.11,clear sky
18,Palanga,LT,55.9175,21.0686,50.02,57,0,4.61,clear sky
19,Khatanga,RU,71.9667,102.5,30.18,97,100,15.01,light snow
20,Cape Town,ZA,-33.9258,18.4232,62.35,75,37,4.0,scattered clouds
21,Buala,SB,-8.145,159.5921,80.6,86,98,9.4,light rain
22,Galesong,ID,-5.3166,119.3661,78.82,86,91,6.78,overcast clouds
23,Saint-Philippe,RE,-21.3585,55.7679,74.79,83,40,6.11,scattered clouds
24,Atuona,PF,-9.8,-139.0333,78.53,75,10,14.99,clear sky
25,Castro,BR,-24.7911,-50.0119,69.82,57,47,2.39,scattered clouds
26,Teya,RU,60.3778,92.6267,19.98,97,35,1.34,scattered clouds
27,Pevek,RU,69.7008,170.3133,9.16,93,25,7.2,scattered clouds
28,Balikpapan,ID,-1.2675,116.8289,77.99,94,75,2.3,broken clouds
29,Hithadhoo,MV,-0.6,73.0833,84.72,79,100,19.69,overcast clouds
30,East London,ZA,-33.0153,27.9116,66.22,67,100,3.65,overcast clouds
31,Pyu,MM,18.4833,96.4333,78.8,87,100,4.81,overcast clouds
32,Port Macquarie,AU,-31.4333,152.9167,57.09,94,100,5.75,overcast clouds
33,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,33.21,98,100,9.71,snow
34,Huarmey,PE,-10.0681,-78.1522,70.43,77,62,10.25,broken clouds
35,Awbari,LY,26.5921,12.7805,87.21,12,0,8.7,clear sky
36,Yellowknife,CA,62.456,-114.3525,21.56,67,100,21.0,overcast clouds
37,Ushuaia,AR,-54.8,-68.3,41.68,78,47,3.42,scattered clouds
38,Upernavik,GL,72.7868,-56.1549,26.04,72,100,4.99,overcast clouds
39,Andenes,NO,69.3143,16.1194,40.98,87,75,14.97,light rain
40,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,90.39,35,83,5.73,broken clouds
41,Tuatapere,NZ,-46.1333,167.6833,49.41,88,95,3.44,overcast clouds
42,Dvinskoy,RU,62.1535,45.1175,41.41,62,100,7.65,overcast clouds
43,Gravdal,NO,68.1214,13.5031,44.49,100,75,3.44,light rain
44,Torquay,GB,50.4638,-3.5143,64.58,77,100,7.0,overcast clouds
45,Lata,PT,40.1629,-8.3327,81.48,44,77,10.2,broken clouds
46,Bambous Virieux,MU,-20.3428,57.7575,76.21,82,12,7.76,light rain
47,Thompson,CA,55.7435,-97.8558,51.96,66,75,4.61,broken clouds
48,Alofi,NU,-19.0595,-169.9187,71.49,88,40,3.44,scattered clouds
49,Carnarvon,AU,-24.8667,113.6333,68.07,83,98,4.61,overcast clouds
50,Hermanus,ZA,-34.4187,19.2345,57.79,73,34,12.33,scattered clouds
51,Jamestown,US,42.097,-79.2353,67.01,28,0,8.01,clear sky
52,Dikson,RU,73.5069,80.5464,13.64,92,98,8.41,overcast clouds
53,Margate,GB,51.3813,1.3862,67.1,71,98,11.54,overcast clouds
54,Bon Accord,CA,53.8335,-113.4187,42.78,75,100,13.22,overcast clouds
55,Barrow,US,71.2906,-156.7887,26.62,100,100,3.44,fog
56,Kruisfontein,ZA,-34.0033,24.7314,62.89,69,36,4.59,scattered clouds
57,Lorengau,PG,-2.0226,147.2712,82.96,74,89,13.24,overcast clouds
58,Hambantota,LK,6.1241,81.1185,82.74,94,20,12.66,few clouds
59,Kulhudhuffushi,MV,6.6221,73.07,85.1,75,100,19.86,overcast clouds
60,Tooele,US,40.5308,-112.2983,43.23,45,0,12.66,clear sky
61,Victoria,HK,22.2855,114.1577,78.85,84,59,13.0,light rain
62,Provideniya,RU,64.3833,-173.3,27.41,94,15,6.35,few clouds
63,Los Llanos De Aridane,ES,28.6585,-17.9182,72.12,78,0,14.97,clear sky
64,Kumluca,TR,36.3703,30.2869,67.46,64,100,6.33,overcast clouds
65,Kropotkin,RU,45.4375,40.5756,56.64,74,95,7.43,overcast clouds
66,Sherbrooke,CA,45.4001,-71.8991,65.68,32,1,4.92,clear sky
67,Puerto Ayora,EC,-0.7393,-90.3518,75.38,77,85,6.78,overcast clouds
68,Mandera,KE,3.9366,41.867,87.39,52,100,12.93,overcast clouds
69,Saskylakh,RU,71.9167,114.0833,8.17,96,97,5.5,overcast clouds
70,Vaini,TO,-21.2,-175.2,71.76,68,20,6.91,few clouds
71,Masuguru,TZ,-11.3667,38.4167,76.17,66,25,2.21,scattered clouds
72,Mataura,NZ,-46.1927,168.8643,47.48,97,99,1.7,overcast clouds
73,Hasaki,JP,35.7333,140.8333,54.28,86,100,22.59,light rain
74,Klaksvik,FO,62.2266,-6.589,49.12,92,95,20.38,overcast clouds
75,Tuktoyaktuk,CA,69.4541,-133.0374,33.17,88,98,13.71,overcast clouds
76,Atambua,ID,-9.1061,124.8925,71.96,85,72,5.66,broken clouds
77,Taikang,CN,46.8333,124.4167,63.43,20,87,24.02,overcast clouds
78,Bandarbeyla,SO,9.4942,50.8122,83.75,83,65,13.02,broken clouds
79,Ganzhou,CN,28.8184,115.4327,64.09,93,100,5.5,overcast clouds
80,Souillac,MU,-20.5167,57.5167,75.74,84,15,6.8,few clouds
81,Saint George,US,37.1041,-113.5841,60.44,15,0,9.22,clear sky
82,Bunol,ES,39.4167,-0.7833,70.9,50,7,10.92,clear sky
83,Kalangala,UG,-0.3089,32.225,72.64,75,95,14.94,overcast clouds
84,Bluff,NZ,-46.6,168.3333,47.8,74,80,11.59,broken clouds
85,Bubaque,GW,11.2833,-15.8333,78.3,78,59,10.04,broken clouds
86,Adlay,PH,9.4097,125.8975,76.95,94,100,1.79,overcast clouds
87,Butaritari,KI,3.0707,172.7902,81.16,72,22,20.98,few clouds
88,Farah,AF,32.5,62.5,87.37,12,0,4.76,clear sky
89,Naze,JP,28.3667,129.4833,70.12,90,100,6.38,overcast clouds
90,Karratha,AU,-20.7377,116.8463,76.55,62,21,5.79,few clouds
91,Saint-Georges,GD,12.0564,-61.7485,85.68,70,20,24.16,few clouds
92,Bengkulu,ID,-3.8004,102.2655,78.76,84,92,3.69,overcast clouds
93,Shirokiy,RU,49.758,129.523,52.2,47,17,7.38,few clouds
94,Kakonko,TZ,-3.2828,30.9642,69.48,79,59,2.17,broken clouds
95,Faanui,PF,-16.4833,-151.75,81.5,75,6,12.48,clear sky
96,Kasempa,ZM,-13.4584,25.8338,68.85,64,47,4.05,scattered clouds
97,Sulangan,PH,11.1373,123.7228,83.07,76,100,11.61,overcast clouds
98,Vestmannaeyjar,IS,63.4427,-20.2734,47.05,77,76,3.56,broken clouds
99,Hofn,IS,64.2539,-15.2082,48.27,78,99,3.67,overcast clouds
100,Plettenberg Bay,ZA,-34.0527,23.3716,60.15,74,45,2.01,scattered clouds
101,Port Hardy,CA,50.6996,-127.4199,46.58,81,75,9.22,light intensity shower rain
102,Manakara,MG,-22.1333,48.0167,74.73,91,2,10.38,moderate rain
103,Coahuayana,MX,18.7333,-103.6833,86.14,49,12,4.68,few clouds
104,Lebu,CL,-37.6167,-73.65,56.48,86,84,11.59,broken clouds
105,Laguna,US,38.421,-121.4238,55.29,61,0,8.05,clear sky
106,Bethel,US,41.3712,-73.414,65.25,31,0,16.11,clear sky
107,Kizukuri,JP,40.8061,140.3861,47.1,79,0,6.78,clear sky
108,Jacqueville,CI,5.2052,-4.4146,82.81,75,46,11.95,scattered clouds
109,Hobyo,SO,5.3505,48.5268,84.67,77,67,16.71,broken clouds
110,Cabo San Lucas,MX,22.8909,-109.9124,88.61,47,40,0.0,scattered clouds
111,Radhanpur,IN,23.8333,71.6,91.36,38,0,13.11,clear sky
112,Waipawa,NZ,-41.4122,175.5153,53.02,93,100,14.45,light rain
113,Cuiluan,CN,47.72,128.648,53.71,35,59,7.9,broken clouds
114,Vyshkov,RU,52.4764,31.6873,57.09,52,10,8.57,clear sky
115,Gawler,AU,-34.6,138.7333,56.25,65,87,6.31,overcast clouds
116,Kargasok,RU,59.0556,80.8572,46.99,62,32,8.52,scattered clouds
117,Ati,TD,13.2154,18.3353,108.21,6,6,8.03,clear sky
118,Masallatah,LY,32.6167,14.0,66.33,60,52,10.27,broken clouds
119,Saint John,CA,45.2727,-66.0677,60.19,30,98,10.71,overcast clouds
120,Kapaa,US,22.0752,-159.319,73.72,88,75,12.66,broken clouds
121,Kodiak,US,57.79,-152.4072,44.11,49,0,26.46,clear sky
122,Arvika,SE,59.6553,12.5852,63.21,38,49,13.0,scattered clouds
123,Tabou,CI,4.423,-7.3528,83.71,70,86,7.29,overcast clouds
124,Yuzhno-Kurilsk,RU,44.0306,145.8556,42.6,70,47,13.42,scattered clouds
125,Ilulissat,GL,69.2167,-51.1,28.42,64,75,6.91,broken clouds
126,Uyuni,BO,-20.4597,-66.825,48.25,16,2,15.73,clear sky
127,Mar Del Plata,AR,-38.0023,-57.5575,59.95,78,40,10.36,scattered clouds
128,Aitape,PG,-3.1374,142.3475,80.19,87,96,7.38,overcast clouds
129,Bautzen,DE,51.1833,14.4333,69.89,52,15,6.24,few clouds
130,Hami,CN,42.8,93.45,69.21,9,9,16.82,clear sky
131,Lima,PE,-12.0432,-77.0282,64.65,82,75,9.22,broken clouds
132,Kangalassy,RU,62.3464,129.9628,30.13,81,23,10.0,few clouds
133,Marolambo,MG,-20.05,48.1167,68.32,99,12,1.79,moderate rain
134,Halifax,CA,44.6453,-63.5724,59.52,38,100,13.0,overcast clouds
135,Brae,GB,60.3964,-1.353,49.77,94,100,24.38,moderate rain
136,Ancud,CL,-41.8697,-73.8203,50.34,73,100,2.01,overcast clouds
137,Leshukonskoye,RU,64.8989,45.7622,38.68,70,72,2.48,broken clouds
138,Cherskiy,RU,68.75,161.3,31.55,77,96,14.2,overcast clouds
139,San Jose,US,37.3394,-121.895,55.85,60,40,12.66,scattered clouds
140,Nelson Bay,AU,-32.7167,152.15,61.0,94,64,2.71,broken clouds
141,Nikolskoye,RU,59.7035,30.7861,49.91,49,57,6.24,broken clouds
142,Sinnamary,GF,5.3833,-52.95,82.69,74,87,9.08,overcast clouds
143,Fushun,CN,41.8558,123.9233,53.31,47,0,4.7,clear sky
144,Nyurba,RU,63.2842,118.3319,24.96,87,100,5.32,overcast clouds
145,Mount Isa,AU,-20.7333,139.5,65.97,100,100,8.05,light rain
146,Qaqortoq,GL,60.7167,-46.0333,39.99,78,48,4.59,scattered clouds
147,Tecoanapa,MX,16.5167,-98.75,85.08,59,50,7.52,scattered clouds
148,Rio Branco,BR,-9.9747,-67.81,86.61,89,40,3.44,scattered clouds
149,Simoes,BR,-7.5989,-40.8178,90.88,31,100,9.6,overcast clouds
